danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.591,0.486,7,-10.465,1,0.0284,0.33,5.29e-05,0.0754,0.564,75.889,https://api.spotify.com/v1/tracks/20Nq1ZzV9SXDoSJNUY03Zs,270200,And It Stoned Me,Van Morrison
0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,226213,We Don't Trust You,Future
0.837,0.356,9,-8.771,0,0.119,0.815,0.00206,0.0792,0.618,133.025,https://api.spotify.com/v1/tracks/3EzlgdxyFvjeAGzR5WxHB8,178493,Little by Little,The Marías
0.626,0.441,9,-10.637,0,0.0308,0.761,0.0138,0.0685,0.563,78.094,https://api.spotify.com/v1/tracks/4lRrk574qIHpoEEKC1zuam,291400,At Your Best (You Are Love),Aaliyah
0.601,0.772,0,-4.137,0,0.031,0.181,0.0543,0.0928,0.294,99.445,https://api.spotify.com/v1/tracks/3a6PN6BRB8PP3ms48s7kU1,283573,Empire Ants (feat. Little Dragon),Gorillaz
0.602,0.554,8,-8.97,0,0.0753,0.0196,4.21e-05,0.332,0.427,138.091,https://api.spotify.com/v1/tracks/7qzQfE2se3Ai5reZcxs920,124552,Tim's Intro,Brent Faiyaz
0.57,0.887,7,-7.993,0,0.0448,0.0908,3.41e-06,0.197,0.182,94.607,https://api.spotify.com/v1/tracks/5CrShYXYibJD0kx4q56xhZ,256733,反方向的鐘,Jay Chou
0.457,0.272,11,-12.022,1,0.0345,0.825,0.573,0.13,0.413,200.364,https://api.spotify.com/v1/tracks/5E6AoOwwAIbVqx9J6i7ccj,405352,Valley in the Ocean,Bruno Pernadas
0.454,0.379,7,-10.436,1,0.0295,0.00194,0.00227,0.111,0.106,85.993,https://api.spotify.com/v1/tracks/64qXobpGe6VOm0ybMsMvZS,257325,Late Night Crawler,Indigo De Souza
0.733,0.384,0,-13.177,0,0.0306,0.136,7.97e-05,0.0979,0.609,126.023,https://api.spotify.com/v1/tracks/7qw4F9ebIh2z1dSBpJMfdt,186320,Seabird,Alessi Brothers
0.622,0.739,8,-6.219,1,0.0441,0.0156,0.0,0.111,0.435,97.017,https://api.spotify.com/v1/tracks/5ECxiK4Vigo1yRRmAoZc1f,206587,Silk Chiffon,MUNA
0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,290617,Apocalypse,Cigarettes After Sex
0.555,0.331,1,-8.711,0,0.0302,0.585,0.0,0.127,0.188,139.975,https://api.spotify.com/v1/tracks/4U3thcLsoy8Ty9cTv94Ex2,320133,不稱職的天才,Yitai Wang
0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,233456,Glimpse of Us,Joji
0.529,0.351,1,-12.484,1,0.0368,0.543,0.0,0.0851,0.529,147.815,https://api.spotify.com/v1/tracks/5GzgEC6pWf1USZsCtkG8yC,199981,Paper Planes,Elina
0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,https://api.spotify.com/v1/tracks/6K8VQ84MqhsoakN5MjrnVR,277506,Supercut,Lorde
0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM,299960,Little Dark Age,MGMT
0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,https://api.spotify.com/v1/tracks/4OdhffpvG3HxDJMxYOKh97,308933,I Ran (So Far Away),A Flock Of Seagulls
0.527,0.27,0,-10.855,1,0.038,0.707,0.0,0.102,0.23,154.042,https://api.spotify.com/v1/tracks/62E2nR0od0M5HYxuYLaDz7,238857,The Black Dog,Taylor Swift
0.53,0.406,10,-7.507,1,0.033,0.656,0.0,0.133,0.338,115.94,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,157147,"I Love You, I'm Sorry",Gracie Abrams
0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,258987,Photograph,Ed Sheeran
0.57,0.804,11,-6.782,1,0.0701,0.0598,8.96e-05,0.187,0.624,87.533,https://api.spotify.com/v1/tracks/51Lf3l6wx008NdBxCQnD6B,199233,Ode to a Conversation Stuck in Your Throat,Del Water Gap
0.832,0.529,1,-6.443,1,0.0467,0.248,0.0169,0.096,0.571,143.992,https://api.spotify.com/v1/tracks/2N61DUSk4oIZdrSY3ifuTT,221806,夜车,张蔷
0.731,0.737,1,-6.861,0,0.194,0.133,0.0,0.0732,0.616,98.004,https://api.spotify.com/v1/tracks/673OnqT7JuOTkxyfa0BT0t,273973,Things I've Seen,The Spooks
0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,226600,Night Changes,One Direction
0.459,0.961,7,-3.72,0,0.0954,0.673,0.000327,0.208,0.558,165.042,https://api.spotify.com/v1/tracks/2ZLAdhGHU3vNjcPMv9I7n8,266076,The Song with Five Names a.K.a. Soapbox Tao a.K.a. Checkmate Atheists! a.K.a. Neospace Government (A.K.a. You Can Never Know) [2020 Remastered Version],Will Wood and the Tapeworms
0.711,0.859,0,-6.326,0,0.0312,0.101,0.0,0.353,0.843,96.992,https://api.spotify.com/v1/tracks/6WdypYr5uMuIYajOKoHUV1,200453,"Juntos - From ""McFarland, USA""/Soundtrack Version",Juanes
0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,https://api.spotify.com/v1/tracks/0VO8gYVDSwM1Qdd2GsMoYK,234000,Moth To A Flame (with The Weeknd),Swedish House Mafia
0.753,0.722,7,-7.33,1,0.0968,0.405,0.149,0.0939,0.826,88.03,https://api.spotify.com/v1/tracks/2DtxhkddVRgyidlPC3f0Gu,221591,Bom Motivo - S-Tone Inc 2022 Version,Toco
