danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ,220734,Just the Way You Are,Bruno Mars
0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,https://api.spotify.com/v1/tracks/6Ec5LeRzkisa5KJtwLfOoW,256027,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin
0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,211582,I KNOW ?,Travis Scott
0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485,https://api.spotify.com/v1/tracks/6shRGWCtBUOPFLFTTqXZIC,208653,Upside Down,Jack Johnson
0.567,0.391,1,-9.106,1,0.0268,0.74,0.277,0.0645,0.269,123.909,https://api.spotify.com/v1/tracks/4gAIUEY7VkeiKQOPwIYaYb,297591,은방울 Lily of The Valley,DANIEL
0.74,0.563,11,-7.016,0,0.04,0.34,0.0,0.0824,0.577,104.958,https://api.spotify.com/v1/tracks/5o5WaO9pzPhXSGIrTIYVce,173286,Cherry Wine,grentperez
0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,298941,Passionfruit,Drake
0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,516893,American Pie,Don McLean
0.674,0.229,7,-16.463,1,0.0323,0.782,0.000139,0.113,0.634,108.209,https://api.spotify.com/v1/tracks/23ZavKNBduDwOV0zCtxFsv,311467,Banana Republics,Jimmy Buffett
0.283,0.451,7,-8.585,1,0.0452,0.0203,0.00318,0.0463,0.0683,91.116,https://api.spotify.com/v1/tracks/4ShVovnLIlObG43vwaCRkJ,757440,Basketball Shoes,"Black Country, New Road"
